Pickup_ID,Store_ID,Pickup_Date,Pickup_Time_Slot
PIK001, S004, 2023-06-10, 09:00:00
PIK002, S002, 2023-06-15, 10:00:00
PIK003, S005, 2023-06-20, 12:00:00
PIK004, S001, 2023-06-25, 13:00:00
PIK005, S003, 2023-06-30, 14:00:00
PIK006, S002, 2023-07-05, 15:00:00
PIK007, S004, 2023-07-10, 09:00:00
PIK008, S001, 2023-07-15, 10:00:00
PIK009, S005, 2023-07-20, 11:00:00
PIK010, S003, 2023-07-25, 12:00:00
PIK011, S004, 2023-08-01, 13:00:00
PIK012, S005, 2023-08-05, 14:00:00
PIK013, S003, 2023-08-10, 15:00:00
PIK014, S002, 2023-08-15, 09:00:00
PIK015, S004, 2023-08-20, 10:00:00
PIK016, S001, 2023-08-25, 11:00:00
PIK017, S005, 2023-08-30, 12:00:00
PIK018, S003, 2023-09-04, 13:00:00
PIK019, S001, 2023-09-09, 14:00:00
PIK020, S002, 2023-09-14, 15:00:00
PIK021, S004, 2023-09-19, 09:00:00
PIK022, S003, 2023-09-24, 10:00:00
PIK023, S005, 2023-09-29, 11:00:00
PIK024, S001, 2023-10-04, 12:00:00
PIK025, S002, 2023-10-09, 13:00:00
PIK026, S004, 2023-10-14, 14:00:00
PIK027, S003, 2023-10-19, 15:00:00
PIK028, S005, 2023-10-24, 09:00:00
PIK029, S001, 2023-10-29, 10:00:00
PIK030, S003, 2023-11-03, 11:00:00
PIK031, S004, 2023-11-08, 12:00:00
PIK032, S005, 2023-11-13, 13:00:00
PIK033, S002, 2023-11-18, 14:00:00
PIK034, S001, 2023-11-23, 15:00:00
PIK035, S003, 2023-11-28, 09:00:00
PIK036, S004, 2023-12-03, 10:00:00
PIK037, S005, 2023-12-08, 11:00:00
PIK038, S002, 2023-12-13, 12:00:00
PIK039, S001, 2023-12-18, 13:00:00
PIK040, S003, 2023-12-23, 14:00:00
PIK041, S004, 2023-12-28, 15:00:00
PIK042, S005, 2024-01-02, 09:00:00
PIK043, S002, 2024-01-07, 10:00:00
PIK044, S003, 2024-01-12, 11:00:00
PIK045, S004, 2024-01-17, 12:00:00
PIK046, S005, 2024-01-22, 13:00:00
PIK047, S001, 2024-01-27, 14:00:00
PIK048, S002, 2024-02-01, 15:00:00
PIK049, S003, 2024-02-06, 09:00:00
PIK050, S004, 2024-02-11, 10:00:00
PIK051, S005, 2024-02-16, 11:00:00
PIK052, S002, 2024-02-21, 12:00:00
PIK053, S003, 2024-02-26, 13:00:00
PIK054, S004, 2024-03-02, 14:00:00
PIK055, S005, 2024-03-07, 15:00:00
PIK056, S002, 2024-03-12, 09:00:00
PIK057, S001, 2024-03-17, 10:00:00
PIK058, S003, 2024-03-22, 11:00:00
PIK059, S004, 2024-03-27, 12:00:00
PIK060, S005, 2024-04-01, 13:00:00
PIK061, S001, 2024-04-06, 14:00:00
PIK062, S003, 2024-04-11, 15:00:00
PIK063, S002, 2024-04-16, 09:00:00
PIK064, S004, 2024-04-21, 10:00:00
PIK065, S005, 2024-04-26, 11:00:00
PIK066, S002, 2024-05-01, 12:00:00
PIK067, S003, 2024-05-06, 13:00:00
PIK068, S001, 2024-05-11, 14:00:00
PIK069, S004, 2024-05-16, 15:00:00
PIK070, S005, 2024-05-21, 09:00:00
PIK071, S003, 2024-05-26, 10:00:00
PIK072, S002, 2024-05-31, 11:00:00
PIK073, S004, 2024-06-05, 12:00:00
PIK074, S005, 2024-06-10, 13:00:00
PIK075, S003, 2024-06-15, 14:00:00
PIK076, S002, 2024-06-20, 15:00:00
PIK077, S004, 2024-06-25, 09:00:00
PIK078, S005, 2024-06-30, 10:00:00
PIK079, S003, 2024-07-05, 11:00:00
PIK080, S002, 2024-07-10, 12:00:00
PIK081, S004, 2024-07-15, 13:00:00
PIK082, S005, 2024-07-20, 14:00:00
PIK083, S003, 2024-07-25, 15:00:00
PIK084, S001, 2024-07-30, 09:00:00
PIK085, S002, 2024-08-04, 10:00:00
PIK086, S003, 2024-08-09, 11:00:00
PIK087, S004, 2024-08-14, 12:00:00
PIK088, S005, 2024-08-19, 13:00:00
PIK089, S001, 2024-08-24, 14:00:00
PIK090, S002, 2024-08-29, 15:00:00
PIK091, S003, 2024-09-03, 09:00:00
PIK092, S004, 2024-09-08, 10:00:00
PIK093, S005, 2024-09-13, 11:00:00
PIK094, S001, 2024-09-18, 12:00:00
PIK095, S002, 2024-09-23, 13:00:00
PIK096, S003, 2024-09-28, 14:00:00
PIK097, S004, 2024-10-03, 15:00:00
PIK098, S005, 2024-10-08, 09:00:00
PIK099, S001, 2024-10-13, 10:00:00
PIK100, S002, 2024-10-18, 11:00:00
